,MAE,MSE,RMSE,R2,MAPE,Mean_Residual,Std_Residual
linear_regression,472.3294996954465,443668.7022459681,666.0846059217763,0.490048807964668,305.69729578346545,-26.946968493737863,665.539302472037
knn,847.7821373487379,1555874.5302183605,1247.346996716776,-0.7883165238516108,98.29483268597426,846.7400317940617,915.918036057677
random_forest,733.1957230860822,1351805.8994178865,1162.671879516266,-0.5537607821305586,96.72375875650839,701.0482093087754,927.5436958132193
xgboost,732.2810819332532,1345899.2143464687,1160.128964532163,-0.5469716598014454,101.53356569091801,695.1594583199062,928.7909031934171
ann,3200.290444501444,10907084.71909713,3302.5875793227847,-11.536563489777876,1489.7643318876815,3200.290444501444,815.6137504541466
