,Unnamed: 0,RMSE,MAE,R2
0,xgboost,4.505923974695996,3.167509347648792,0.9676413112195994
1,random_forest,5.268960830440812,3.38376766708963,0.9557540896209392
2,knn,17.922944509047767,12.707749207335452,0.4880330622537707
arima,,23.60885860272561,16.62634071662244,-0.010490496576497588
